# league name,internal sport id,max cap per sport,max cap per child markets,main spread markets id10001,main totals markets id10002,main double chance markets id10003,first period secondary moneyline total spread ids10051 10061 10071,soccer corners and cards markets spreads totals team and most cards ids10221to10246,basketball team totals steals blocks assists threes plus player shooting volume props ids10268to10273 and11255to11262,mlb batting and some pitcher props home runs hits rbis singles doubles walks runs outs and walks allowed ids11010 11012 11213to11223,mlb pitcher bases strikeouts hits allowed and earned runs props ids11011 11019 11047 11216,basketball player points props id11029,basketball player rebounds and made threes props ids11035 11038,basketball player assists props id11039,nfl passing rushing receiving touchdowns and kicking props including longest plays ids11049 11051 11052 11053 11055 11056 11057 11058 11060 11202to11211 11241 11296 11297,soccer or hockey anytime player goal scored props id11086,basketball combo stat props double double triple double pras ras steals and turnovers plus blocks ids11087 11088 11098 11225to11229 11246,shots recorded props typically hockey id11097,player total goals props soccer or hockey id11100,nfl defensive tackles props id11212,basketball steals plus blocks combo props id11230,tennis player serve and break props aces break points double faults ids11231 11232 11240,soccer player shots on target props id11238,soccer player total shots props id11239,player fouls committed props basketball or soccer id11259,esports player kills assists deaths and headshots by map and series ids11263to11293,esports game props 10320 to 10504,soccer player fouls drawn and offsides props ids11298 11300,soccer goalkeeper saves props id11301,regular time markets,per sport risk multiplier,dynamic liquidity cutoff time seconds,dynamic liquidity cutoff divider
sportName,sportId,sportCap,childCap,10001,10002,10003,10051;10061;10071,10221;10222;10223;10224;10225;10226;10227;10228;10229;10230;10231;10232;10233;10234;10235;10236;10241;10242;10243;10244;10245;10246;10220;10237;10238;10239;10255;10256;10210,10268;10269;10270;10271;10272;10273;11255;11256;11257;11258;11260;11261;11262;10240;10257;10258;10259;10260;10261;10262;10263;10264,11010;11012;11213;11214;11215;11217;11218;11219;11220;11221;11222;11223,11011;11019;11047;11216,11029,11035;11038,11039,11049;11051;11052;11053;11055;11056;11057;11058;11060;11202;11203;11204;11205;11206;11207;11208;11209;11210;11211;11241;11296;11297,11086,11087;11088;11098;11225;11226;11227;11228;11229;11246,11097,11100,11212,11230,11231;11232;11240,11238,11239,11259,11263;11264;11265;11266;11267;11268;11269;11270;11271;11272;11273;11274;11275;11276;11277;11278;11279;11280;11281;11282;11283;11284;11285;11286;11287;11288;11289;11290;11291;11292;11293,10320;10321;10322;10323;10324;10325;10326;10327;10328;10329;10330;10331;10332;10333;10334;10335;10336;10337;10338;10339;10340;10341;10342;10343;10344;10345;10346;10347;10348;10349;10350;10351;10352;10353;10354;10355;10356;10357;10358;10359;10360;10361;10362;10363;10364;10365;10366;10367;10368;10369;10370;10371;10372;10373;10374;10375;10376;10377;10378;10379;10380;10381;10382;10383;10440;10441;10442;10443;10444;10445;10446;10447;10448;10449;10450;10451;10452;10453;10454;10455;10456;10457;10458;10459;10460;10461;10462;10463;10464;10465;10466;10467;10468;10469;10470;10471;10472;10473;10474;10475;10476;10477;10478;10479;10480;10481;10482;10483;10484;10485;10486;10487;10488;10489;10490;10491;10492;10493;10494;10495;10496;10497;10498;10499;10500;10501;10502;10503;10504,11298;11300,11301,10011;10013;10014,riskMultiplier,dynamicLiquidityCutoffTime,dynamicLiquidityCutoffDivider
UEFA EL,17,3000,1000,2500,2000,0,,300,0,0,0,0,0,300,0,0,0,0,400,200,0,0,300,300,200,0,0,200,200,0,0,86400,5000000000000000000
UEFA Conference,10216,1500,700,1000,1000,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,86400,5000000000000000000
UEFA Nations League,9806,3000,1000,2000,2000,2000,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
FIFA Q,18,2000,500,1300,1300,800,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
NET1,57,1500,1000,1300,1300,1300,,300,0,0,0,0,0,300,0,0,0,0,400,200,0,0,300,300,200,0,0,200,200,0,0,172800,5000000000000000000
POR1,61,1500,1000,1300,1300,1300,,300,0,0,0,0,0,300,0,0,0,0,400,200,0,0,300,300,200,0,0,200,200,0,0,172800,5000000000000000000
Brazil,268,2000,1000,1500,1500,1500,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Copa Libertadores,45,3000,1000,2500,1500,1500,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Brazil - Copa do Brasil,20002,1200,500,1000,1000,1000,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
England - Championship,20011,1500,500,1000,800,800,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
England - League 1,20126,1000,300,600,500,400,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Austria league 1,20120,1200,500,800,700,700,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
JPN1,19,1000,300,700,500,400,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Liga MX,230,1000,500,700,700,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Saudi League,536,800,250,600,500,400,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Swiss superleague,20114,1000,300,700,500,400,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Belgium league 1,20102,1000,300,700,500,400,,300,0,0,0,0,0,300,0,0,0,0,400,200,0,0,300,300,200,0,0,200,200,0,0,172800,5000000000000000000
Sweden - Allsvenskan,20123,1000,300,500,500,400,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Turkey league 1,20108,1000,300,700,500,400,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Russia - Premier League,20107,1000,300,700,500,400,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Argentina league 1,20106,1000,300,700,500,400,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
China league 1,20012,1000,300,500,700,400,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,,,0,0,172800,5000000000000000000
Scotland league 1,20101,1000,300,700,500,400,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Greece - Super League,20110,1000,300,700,500,400,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
England EFL cup,20125,3000,500,2000,2000,1500,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
England FA cup,132,1200,300,800,800,300,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Spain - La Liga 2,20116,1500,500,1000,700,700,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Italy Serie B,20117,1200,500,700,1000,700,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Germany - Bundesliga 2,20115,1000,500,780,700,700,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
AFC - Champions League,20128,1000,400,800,600,600,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
CONCACAF - Champions Cup,20147,1000,400,700,500,400,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Spain - Copa del Rey,138,2000,300,1000,1000,1000,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
DFB Pokal,209,2000,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Coppa Italia,141,2000,300,1000,1000,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Super Coppa Italia,20129,3000,1000,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
France Super Cup,20130,3000,1000,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Spain supercopa,20131,3000,1000,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
German Super cup,20132,3000,1000,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Portugal League Cup,20133,1000,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Portugal - Super Cup,20658,1500,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Netherlands - Super Cup,20716,1000,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Ukraine - Premier League,20717,800,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Italy - Serie C,20718,400,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Spain - Primera Federacion,20728,400,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Portugal Taka Cup,20136,400,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Sweden - Superettan,20686,800,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Switzerland - Challenge League,20688,500,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Argentina - Copa Argentina,20160,500,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Norway - 1. Divisjon,20642,500,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Denmark - 1st Division,20531,500,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Thai League 1,20134,500,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Netherlands Cup,20135,700,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Canada - Premier League,20149,500,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Norway - Eliteserien,20150,800,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
USA - Open Cup,20151,800,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
FIFA - Club World Cup,20152,4000,1000,3000,3000,3000,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
FIFA - Intercontinental Cup,20558,4000,1000,3000,3000,3000,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
CONCACAF - Gold Cup,20516,800,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
COSAFA - Cup,20555,800,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Finland - Veikkausliiga,20105,800,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Korea - K1 League,20603,800,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Iceland - Besta Deild Karla,20578,500,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Uruguay - Primera Division,20127,700,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Peru - Primera Division,20651,500,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Colombia - Primera A,20124,600,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Ecuador - Serie A,20535,500,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Chile - Primera Division,20104,600,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Slovakia - Superliga,20714,600,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
China - FA Cup,20715,1000,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Romania - Liga I,20661,800,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
Bulgaria - Parva Liga,20507,600,0,0,0,0,,300,0,0,0,0,0,200,0,0,0,0,200,200,0,0,200,200,200,0,0,200,200,0,0,172800,5000000000000000000
